/home/ivan/Área de trabalho/2017/07/28/UESU4321373/201707280026260017S_stamp.jpg,7,33,381,252
/home/ivan/Área de trabalho/2017/07/28/UACU5960737/2017072800261300FIS_stamp.jpg,10,21,439,232
/home/ivan/Área de trabalho/2017/07/28/UETU5471319/20170728002614007OS_stamp.jpg,0,20,472,201
/home/ivan/Área de trabalho/2017/07/28/UESU5145751/20170728002621003LS_stamp.jpg,18,25,492,201
/home/ivan/Área de trabalho/2017/07/29/AMFU3017844/2017072900261300AVS_stamp.jpg,261,38,481,158
/home/ivan/Área de trabalho/2017/07/28/YMLU5397240/20170728002626003WS_stamp.jpg,30,19,405,232
/home/ivan/Área de trabalho/2017/07/29/APHU7088324/20170729002623000RS_stamp.jpg,11,0,599,222
/home/ivan/Área de trabalho/2017/07/29/BEAU2084353/20170729002631002XS_stamp.jpg,144,32,372,215
/home/ivan/Área de trabalho/2017/07/29/APZU4535801/20170728002626006YS_stamp.jpg,19,23,400,229
/home/ivan/Área de trabalho/2017/07/28/UACU5850370/20170728002614008VS_stamp.jpg,0,18,478,194
/home/ivan/Área de trabalho/2017/07/28/UACU8407643/20170728002631001DS_stamp.jpg,45,29,509,191
/home/ivan/Área de trabalho/2017/07/29/APZU3629193/201707280026120055S_stamp.jpg,145,26,362,153
/home/ivan/Área de trabalho/2017/07/29/APZU3800270/20170729002614005LS_stamp.jpg,0,29,390,167
/home/ivan/Área de trabalho/2017/07/29/BEAU1026548/20170729002613007QS_stamp.jpg,0,38,462,308
/home/ivan/Área de trabalho/2017/07/29/APRU5084850/20170729002626006US_stamp.jpg,25,12,425,190
/home/ivan/Área de trabalho/2017/07/29/APZU3627020/20170729002614005DS_stamp.jpg,0,25,384,164
/home/ivan/Área de trabalho/2017/07/28/XINU8072693/20170728002614005AS_stamp.jpg,0,13,488,178
/home/ivan/Área de trabalho/2017/07/28/UACU8063147/2017072800261300DCS_stamp.jpg,15,30,477,180
/home/ivan/Área de trabalho/2017/07/29/APZU4640108/20170729002626008OS_stamp.jpg,46,23,446,190
/home/ivan/Área de trabalho/2017/07/29/APZU3819594/20170729002626006XS_stamp.jpg,1,0,599,267
/home/ivan/Área de trabalho/2017/07/28/XINU8023087/20170728002614007ES_stamp.jpg,0,12,488,177
/home/ivan/Área de trabalho/2017/07/28/YMLU8812004/201707280026230002S_stamp.jpg,35,0,599,195
/home/ivan/Área de trabalho/2017/07/28/UACU4770732/20170728002621001OS_stamp.jpg,22,23,491,205
/home/ivan/Área de trabalho/2017/07/28/UACU8599464/2017072800261300EUS_stamp.jpg,34,30,472,194
/home/ivan/Área de trabalho/2017/07/29/APZU3216332/20170729002626004BS_stamp.jpg,11,36,412,225
